id,artist,birth_date,debut_date,nationality,group_type,introduction,social_media,keywords,img_url,created_at,updated_at
6,제이크 밀러 첫 단독,,2013.0,,가수,"제이크 밀러는 미국 출신의 싱어송라이터이자 래퍼이에요. 주로 팝, 힙합, R&B 장르의 음악을 선보이며, 본인의 이름을 아티스트명으로 사용하고 있어요. 2013년 EP 'Summer Epic'으로 데뷔했으며, 직접 곡을 쓰고 프로듀싱하는 능력으로도 인정받고 있어요. 그의 음악은 긍정적이고 활기찬 분위기가 특징이며, 젊은 세대의 공감을 얻는 솔직한 가사로 많은 팬들에게 사랑받고 있어요.",https://www.instagram.com/jakemiller/,"팝,힙합,R&B,싱어송라이터,미국",https://i.scdn.co/image/ab6761610000e5ebc1f0b0943890cf2c4e334559,2025-08-30 02:27:50.637,2025-09-08 21:09:59.875
8,Gen Hoshino (호시노 겐),,2010.0,,"싱어송라이터, 배우, 작가","일본의 싱어송라이터이자 배우, 그리고 작가로 활발하게 활동하고 있어요. 그의 음악은 팝, 소울, 펑크, R&B 등 다양한 장르를 넘나들며, 독특한 리듬감과 따뜻한 음색이 특징이에요. 직접 작사, 작곡한 곡들이 많아 음악적 스펙트럼이 넓고, 대중성과 음악성을 동시에 인정받고 있어요. 특히, 히트 드라마 OST로도 많은 사랑을 받았으며, 음악 활동 외에도 드라마, 영화, 라디오 등 다방면에서 활약하며 일본 대중문화에 큰 영향을 미 미치고 있답니어요.",https://www.instagram.com/iamgenhoshino/,"팝,소울,펑크,R&B,J-POP,싱어송라이터",https://resources.tidal.com/images/334237c0/755c/41e4/b99e/a0e1c67425f3/1280x1280.jpg,2025-09-05 19:27:45.029,2025-09-08 21:09:59.875
9,Pink Sweat$ (핑크스웨츠),,2018.0,,R&B 싱어송라이터,"핑크스웨츠는 미국의 싱어송라이터로, 주로 필라델피아에서 활동하고 있어요. 그의 음악은 R&B, 소울, 팝 장르를 기반으로 하며, 진심이 담긴 멜로디와 미니멀한 편곡이 특징이에요. 특히 사랑 노래를 많이 선보이며 듣는 이에게 깊은 감동을 선사하죠. 아티스트 이름인 'Pink Sweat$'는 그가 가장 좋아하는 색인 '핑크(Pink)'와 이전에 작곡가 및 프로듀서로 활동하며 흘린 '땀(Sweat)'을 의미하는 '$'가 합쳐진 것이라고 해요. 그는 종종 핑크색 스웨트팬츠를 즐겨 입는 것으로도 알려져 있어요. 2018년 EP 'Volume 1'으로 데뷔한 이후, 독특한 음색과 따뜻한 감성으로 많은 사랑을 받고 있어요.",https://www.instagram.com/pinksweats/,"R&B,소울,팝,감성,사랑 노래,어쿠스틱",https://i.scdn.co/image/ab6761610000e5eb1d20364d257173e32b0f3402,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
10,SAKIYAMA SOUSHI (사키야마 소우시),,2019.0,,솔로 아티스트,"사키야마 소우시는 일본에서 활동하는 싱어송라이터예요. 섬세하면서도 강렬한 보컬과 독특한 멜로디 라인, 그리고 서정적인 가사가 돋보이는 록, 포크, 팝 음악을 주로 선보이고 있답니어요. 그의 아티스트명은 본명인 사키야마 소우시를 그대로 사용하고 있어요. 2018년 음악 오디션 '섬광 라이엇(閃光ライオット)'에 참가하며 대중의 주목을 받기 시작했으며, 이듬해인 2019년에 첫 EP 'いつか鳴り響く (언젠가 울려 퍼질)'를 발매하며 본격적으로 음악 활동을 시작했어요. 젊은 나이에도 불구하고 깊이 있는 음악 세계와 뛰어난 작사/작곡 능력을 보여주며 많은 팬들의 사랑을 받고 있어요. 그의 음악은 내면의 감정을 솔직하게 표현하여 듣는 이들에게 깊은 공감과 위로를 선사하는 특징을 가지고 있어요.",https://www.instagram.com/sakiyama_soushi/,"록,포크,팝,싱어송라이터,서정적,섬세한 보컬",https://sakiyamasoushi.com/assets/images/artist/sakiyama_soushi_profile_2024.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
11,Eric Martin (에릭 마틴),,1983.0,,"솔로 가수, 록 밴드 보컬",미국 캘리포니아 출신의 베테랑 록 가수 에릭 마틴은 1983년 솔로 앨범 'Sucker for a Pretty Face'로 데뷔했어요. 그는 특히 1988년 결성된 전설적인 하드 록 밴드 Mr. Big의 리드 보컬로 전 세계적인 명성을 얻었어요. 강렬한 록 사운드부터 감성적인 발라드까지 폭넓은 장르를 소화하며 뛰어난 가창력과 넓은 음역대를 자랑해요. 특히 Mr. Big의 'To Be With You' 같은 히트곡을 통해 그의 부드러우면서도 파워풀한 보컬이 큰 사랑을 받았어요. 솔로 활동과 밴드 활동을 꾸준히 병행하며 록 음악계의 한 축을 담당하고 있는 아티스트이에요.,https://www.instagram.com/ericmartinmrbig/,"하드 록,팝 록,발라드,보컬리스트",https://www.ericmartin.com/images/EM_2023.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
12,ARGY (아르지),,2005.0,,일렉트로닉 음악가,"그리스 출신의 DJ이자 프로듀서 ARGY는 본명인 아르지리스 테오필리스(Argyris Theofilis)에서 따온 예명이에요. 그는 주로 유럽을 중심으로 전 세계 클럽과 페스티벌 무대에서 활발하게 활동하고 있어요. 하우스, 테크노, 멜로딕 일렉트로닉 등 다양한 일렉트로닉 장르를 아우르며, 깊이 있고 몰입감 넘치는 사운드를 통해 자신만의 독특한 음악적 색깔을 선보이고 있어요. 2000년대 중반부터 음악 활동을 시작했으며, 특히 세계적인 레이블 애프터라이프(Afterlife)의 핵심 아티스트 중 한 분으로 인정받고 있어요. 솔롬은 물론, 케르신(Keinemusik), 디제이 쿱스(DJ Koze) 등 유명 아티스트들과의 협업을 통해 더욱 넓은 음악적 스펙트럼을 보여주기도 했어요.",https://www.instagram.com/argy_official/,"하우스,테크노,일렉트로닉,멜로딕 테크노,딥하우스",https://after.life/wp-content/uploads/2023/10/Argy_Artist_Photo_02.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
13,MADKID (매드키드),,2018.0,,J-POP 그룹,"MADKID (매드키드)는 일본에서 활발하게 활동하는 5인조 댄스 보컬 그룹이에요. KAZUKI, SHIN, YOU-TA, RIKITO, YUKI 다섯 멤버로 구성되어 있어요. 이 그룹은 2014년에 결성되었고, 2018년 싱글 'Never going back'으로 메이저 데뷔를 했어요. 파워풀한 보컬과 역동적인 댄스 퍼포먼스가 특징이며, 힙합과 팝 장르를 넘나드는 독자적인 음악 스타일을 선보이고 있어요. 특히 강렬하고 에너제틱한 라이브 무대로 많은 팬들에게 사랑받고 있어요.",https://www.instagram.com/madkid_official/,"J-POP,댄스,보컬,힙합,퍼포먼스",https://madkid.jp/wp-content/uploads/2023/12/madkid_artistphoto_202312.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
14,Oasis (오아시스),,1994.0,,록 밴드,"오아시스는 1990년대 영국 맨체스터에서 결성된 전설적인 록 밴드예요. 리암 갤러거(보컬)와 노엘 갤러거(기타, 보컬, 작사/작곡) 형제를 주축으로 활동하며 전 세계적으로 큰 사랑을 받았답니어요. 특유의 멜로딕하면서도 강렬한 브릿팝 사운드로 1990년대를 풍미했고요. 밴드 이름은 노엘이 우연히 본 포스터에서 영감을 받아 지었다고 해요. 그들은 'Wonderwall', 'Don't Look Back In Anger'와 같은 수많은 히트곡을 남기며 영국 음악 역사에 한 획을 그었어요.",https://www.instagram.com/oasis/,"록,브릿팝,얼터너티브 록",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Oasis_band_in_1996_%28cropped%29.jpg/1200px-Oasis_band_in_1996_%28cropped%29.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
15,Alexandros (알렉산드로스),,2010.0,,밴드,"Alexandros (알렉산드로스)는 일본을 중심으로 활동하는 4인조 록 밴드이에요. 보컬과 기타를 맡은 카와카미 요헤이, 기타의 시라이 마사키, 베이스와 코러스의 이소베 히로유키, 그리고 드럼의 쇼무라 사토야스 멤버로 구성되어 있어요. 이들은 원래 'Champagne'이라는 이름으로 활동하다가 2014년에 현재의 'Alexandros'로 그룹명을 바꾸었답니어요. 그룹명은 '알렉산더 대왕'에서 영감을 받아 '세계의 지배자'라는 의미를 담고 있어요. 얼터너티브 록, 팝 록, 모던 록 등 다양한 장르를 넘나들며, 세련된 사운드와 영어 가사를 자주 사용하는 것이 특징이에요.",https://www.instagram.com/alexandros_official_insta/,"얼터너티브 록,팝 록,모던 록,록,일본 밴드",https://alexandros.jp/wp-content/uploads/2023/12/DSC00569-scaled.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
16,TOMIOKA AI (토미오카 아이),,2019.0,,솔로 가수,"토미오카 아이는 일본에서 활발히 활동하는 싱어송라이터이에요. 시티팝, R&B, 소울 장르를 넘나드는 세련된 음악을 들려주고요, 부드럽고 매력적인 음색이 특징이에요. 주로 직접 작사, 작곡을 하며 도시의 밤과 같은 감성적인 분위기를 음악에 담아내고 있어요. 섬세한 가사와 독특한 보컬로 많은 사랑을 받고 있어요.",https://www.instagram.com/tomioka_ai/,"시티팝,R&B,소울",https://tomiokaai.com/wp-content/uploads/2023/10/a52140a7a0368b64e0350d5e16576853.jpg,2025-09-05 19:28:13.416,2025-09-08 21:09:59.875
