id,artist,category,detail,instagram_url,twitter_url,keywords,img_url,debut_date,nationality,group_type,musicbrainz_id,created_at,updated_at
,Touché Amoré (투쉐 아모레),포스트 하드코어 밴드,"2007년 미국 로스앤젤레스에서 결성된 포스트 하드코어 밴드입니다. 2009년 데뷔 앨범 '...To the Beat of a Dead Horse'를 발매했습니다. 보컬 Jeremy Bolm, 기타 Clayton Stevens와 Nick Steinhardt, 베이스 Tyler Kirby, 드럼 Elliot Babin으로 구성되어 있습니다. 이들은 강렬하고 감성적인 사운드와 슬픔, 소외, 개인적인 회복력을 탐구하는 가사로 잘 알려져 있으며, 대표곡으로는 'Flowers and You', 'Rapture' 등이 있습니다.",https://www.instagram.com/toucheamore/,https://twitter.com/toucheamore,"포스트 하드코어, 스크리모, 멜로딕 하드코어, 록, 밴드",,2007,US,그룹,ea367e3c-4c74-460b-8a99-bbbb9b1ad5cf,,
,SHO-SENSEI!! (쇼센세이),아티스트,"SHO-SENSEI!! (쇼센세이)는 일본 효고현 출신의 아티스트입니다. 고등학교 졸업 후 캐나다에서 영어와 음악을 공부했으며, 20세에 도쿄로 거점을 옮겨 본격적인 음악 활동을 시작했습니다. 2018년 Shotaro라는 이름으로 음악 활동을 시작한 후 2019년에 SHO-SENSEI!!로 개명했으며, 힙합, 록, J-POP 요소를 아우르는 독자적인 음악 스타일을 구축했습니다. 대표곡으로는 '道路工事', 'スカート' 등이 있습니다.",https://www.instagram.com/sho_sensei/,,"힙합, 록, J-POP, 랩",,2018,일본,솔로,a9b0436a-e7ac-4e6d-a01c-0a424ed89a6f,,
,Kings of Convenience (킹스 오브 컨비니언스),"인디 팝, 인디 포크 아티스트","1999년 노르웨이 베르겐에서 결성된 인디 팝 듀오입니다. 에를렌드 외위(Erlend Øye)와 에이릭 글람벡 뵈(Eirik Glambek Bøe)로 구성되어 있으며, 섬세한 어쿠스틱 사운드와 조화로운 보컬 하모니가 특징입니다. 이들은 'Quiet Is the New Loud' (2001)와 'Riot on an Empty Street' (2004) 등의 앨범을 통해 전 세계적으로 사랑받았습니다. 대표곡으로는 'Misread', 'I'd Rather Dance With You' 등이 있습니다.",https://www.instagram.com/kingsofconvenience/,https://twitter.com/Kings_of_C,"인디 팝, 인디 포크, 어쿠스틱, 듀오, 노르웨이",,1999,노르웨이,그룹,cf0f4547-ffbd-4011-98ad-0bec9ba022db,,
,The Warning (더 워닝),"록, 하드 록 밴드","2013년 멕시코 몬테레이에서 결성된 3인조 록 밴드입니다. 다니엘라 비야레알 벨레스(기타, 리드/백 보컬, 피아노), 파울리나 비야레알 벨레스(드럼, 백/리드 보컬, 피아노), 알레한드라 비야레알 벨레스(베이스, 백 보컬, 피아노) 세 자매로 구성되어 있습니다. 2015년 메탈리카의 'Enter Sandman' 커버 영상으로 큰 주목을 받았으며, 2020년 Lava Records와 계약 후 'Error'(2022), 'Keep Me Fed'(2024) 등의 앨범을 발매하며 활발히 활동하고 있습니다. 대표곡으로는 'Hell You Call A Dream', 'MORE' 등이 있습니다.",https://www.instagram.com/thewarningrockband/,https://twitter.com/TheWarningBand2,"하드 록, 헤비 메탈, 얼터너티브 록, 밴드",,2013,MX,그룹,7f625f35-7e53-4f08-9201-16643979484b,,
,MILLI (밀리),"힙합, 랩 아티스트","MILLI는 2019년 태국 TV 프로그램 'The Rapper 2'에 출연하며 경력을 시작했습니다. 2020년 2월 13일 디지털 싱글 'พักก่อน'으로 솔로 데뷔하여 전국적인 명성을 얻었습니다. 2022년 4월에는 태국 솔로 아티스트 최초로 코첼라 밸리 뮤직 앤 아트 페스티벌에서 공연했습니다. 대표곡으로는 'พักก่อน', 'สุดปัง' 등이 있습니다.",https://www.instagram.com/millivanilli.official/,,"힙합, 랩, T-pop, 태국",,1988,DE,그룹,d3d83a98-4a2e-433c-903c-5b4c79ccb42e,,
,Meiyo Densetsu (명예전설),팝 록 아티스트,"2023년 5월에 결성된 일본의 팝 록 밴드입니다. 보컬 こたに와 작사·작곡·기타를 담당하는 けっさく를 중심으로 활동하는 2인조 그룹입니다. 데뷔 이후 라이브 공연과 페스티벌을 통해 인지도를 쌓아왔습니다. 대표곡으로는 '共犯者', 'プロポーズ文句' 등이 있습니다.",,https://twitter.com/MeiyoDensetsu,"팝 록, 밴드, J-Pop, 록",,2023,JP,그룹,e37e37a1-6f2e-4bbf-a207-2f7f56e099d4,,
,Crack Cloud (크랙 클라우드),"아트 펑크, 포스트 펑크 아티스트","2015년 드러머이자 프론트맨인 Zach Choy를 중심으로 결성된 캐나다의 음악 및 멀티미디어 컬렉티브입니다. 이들은 유동적인 멤버 구성을 가지고 있으며, 라이브 공연에는 약 7~8명의 핵심 멤버가 참여하지만, 전체적으로는 20명 이상의 아티스트가 함께합니다. Crack Cloud는 중독 회복 및 정신 건강과 같은 사회적 주제를 탐구하며, 시각적 스토리텔링에 중점을 둔 활동을 펼치고 있습니다. 대표곡으로는 'Drab Measure', 'Ouster Stew' 등이 있습니다.",https://www.instagram.com/crack.cloud/,,"아트 펑크, 포스트 펑크, 얼터너티브 록, 밴드, 캐나다",,2015,캐나다,그룹,c641bdb4-2ec3-4889-96f8-ea44a70604f9,,
,Khalid (칼리드),"R&B, 팝 아티스트","칼리드(Khalid Donnel Robinson)는 미국의 싱어송라이터입니다. 그는 고등학교 시절부터 음악을 만들고 사운드클라우드에 업로드하며 활동을 시작했습니다. 2016년 데뷔 싱글 'Location'을 발매하며 상업적으로 데뷔했고, 2017년 첫 정규 앨범 'American Teen'을 발표하며 큰 성공을 거두었습니다. 대표곡으로는 'Young Dumb & Broke', 'Location' 등이 있습니다.",https://www.instagram.com/thegr8khalid/,https://twitter.com/thegreatkhalid,"R&B, 팝, 힙합, 소울",,2016,US,솔로,28737730-ec70-4da5-89c5-77ac13c5c34d,,
,Asaka (아사카),"애니송, 팝 가수","아사카는 1999년 10월 7일 아이치현 나고야시에서 태어난 일본의 애니송 및 팝 가수입니다. 그녀는 2016년 싱글 'Open your eyes'로 데뷔했으며, 어린 시절 미국 거주 경험을 바탕으로 애니메이션에 대한 깊은 애정을 갖게 되어 애니송 가수의 길을 걷게 되었습니다. 2024년에는 성우로도 데뷔하며 활동 영역을 넓혔습니다. 대표곡으로는 'Shiny days', 'Open your eyes' 등이 있습니다.",https://www.instagram.com/asaka_official/,,"J-pop, 애니송, 팝, 애니메이션, 가수",,2016,JP,솔로,4ce2a8e0-80f8-4248-802c-970bc73916ba,,
,Morgenshtern (모르겐슈테른),"래퍼, 싱어송라이터, 음반 프로듀서","러시아의 래퍼, 싱어송라이터, 음반 프로듀서입니다. 2018년부터 독창적인 음악을 발표하며 활동을 시작했으며, 도발적인 이미지와 랩, 트랩, 록, 팝을 넘나드는 음악 스타일로 큰 인기를 얻었습니다. 2021년에는 스포티파이에서 러시아 아티스트 중 가장 많이 스트리밍된 아티스트로 선정되기도 했습니다. 대표곡으로는 'Cadillac', 'Cristal & МОЁТ' 등이 있습니다.",https://www.instagram.com/morgen_shtern/,,"랩, 트랩, 록, 힙합, 팝",,2018,러시아,솔로,ae97ba5f-e7ed-4ed5-9a53-eba415fc49d4,,
